Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D,D_SOD-123F,145.669,-60.96,-90.0,top
LED1,XL-3528RGBW-WS2812B,LED-SMD_4P-L3.5-W2.8-BR-1,128.0,-91.3,0.0,top
LED2,XL-3528RGBW-WS2812B,LED-SMD_4P-L3.5-W2.8-BR-1,149.0,-91.3,0.0,top
LED3,XL-3528RGBW-WS2812B,LED-SMD_4P-L3.5-W2.8-BR-1,170.0,-91.3,0.0,top
LED4,XL-3528RGBW-WS2812B,LED-SMD_4P-L3.5-W2.8-BR-1,191.0,-91.3,0.0,top
LED5,XL-3528RGBW-WS2812B,LED-SMD_4P-L3.5-W2.8-BR-1,128.0,-116.3,0.0,top
LED6,XL-3528RGBW-WS2812B,LED-SMD_4P-L3.5-W2.8-BR-1,149.0,-116.3,0.0,top
LED7,XL-3528RGBW-WS2812B,LED-SMD_4P-L3.5-W2.8-BR-1,170.0,-116.3,0.0,top
LED8,XL-3528RGBW-WS2812B,LED-SMD_4P-L3.5-W2.8-BR-1,191.0,-116.3,0.0,top
LED9,XL-3528RGBW-WS2812B,LED-SMD_4P-L3.5-W2.8-BR-1,128.0,-141.3,0.0,top
LED10,XL-3528RGBW-WS2812B,LED-SMD_4P-L3.5-W2.8-BR-1,149.0,-141.3,0.0,top
LED11,XL-3528RGBW-WS2812B,LED-SMD_4P-L3.5-W2.8-BR-1,170.0,-141.3,0.0,top
LED12,XL-3528RGBW-WS2812B,LED-SMD_4P-L3.5-W2.8-BR-1,191.0,-141.3,0.0,top
LED13,XL-3528RGBW-WS2812B,LED-SMD_4P-L3.5-W2.8-BR-1,140.208,-60.198,0.0,top
R1,RDC1022A05,RES-ADJ-TH_RDC1022A05,110.0875,-58.5225,90.0,top
R2,RK09K1130A6S,RES-TH_RK09K1130A6S,109.22,-111.787,0.0,top
R3,RDC1022A05,RES-ADJ-TH_RDC1022A05,126.5475,-58.5225,90.0,top
R5,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.116,-107.696,0.0,top
R6,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,165.592,-132.588,180.0,top
R7,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.274,-132.588,0.0,top
SW13,PEC11R-4220F-S0012,SW-TH_PEC11R-4220F-S0012,109.22,-134.112,0.0,top
